     t         kpm        kmax       Hmax       ksec       Hsec        Hp         Hm         HHp       HHm        HH0      mu5rms    mu5rms_ts  mu5m_ts      EMag       HMag      xiMag      xiHel
3.30027e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.20826e-04  3.40073e-06  4.79620e-02  6.28972e-02
3.35040e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.09058e-04  3.39823e-06  4.82536e-02  6.32775e-02
3.40038e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.97738e-04  3.39741e-06  4.85424e-02  6.36616e-02
3.45040e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.86518e-04  3.39711e-06  4.88248e-02  6.40580e-02
3.50051e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.75832e-04  3.39455e-06  4.91182e-02  6.44426e-02
3.55047e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.65240e-04  3.39424e-06  4.93833e-02  6.48033e-02
3.60051e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.55161e-04  3.39147e-06  4.96735e-02  6.51793e-02
3.65048e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.45108e-04  3.39176e-06  4.99448e-02  6.55615e-02
3.70047e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.35636e-04  3.39167e-06  5.02313e-02  6.59356e-02
3.75053e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.26177e-04  3.38985e-06  5.05102e-02  6.62906e-02
3.80032e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.17259e-04  3.38829e-06  5.07849e-02  6.66394e-02
3.85050e+01  0.00000e+00  1.20000e+01  0.00000e+00  1.00000e+00 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.08089e-04  3.38556e-06  5.10535e-02  6.69848e-02
